id,title,author,alt_titles,alt_authors,year,publisher,contains_ids
anna-karenina,Anna Karenina,Leo Tolstoy,,"Tolstoy, Leo|Lev Tolstoy|Leo Tolstoi",1878,,
lolita,Lolita,Vladimir Nabokov,,"Nabokov, Vladimir|V. Nabokov",1955,Olympia Press,
pale-fire,Pale Fire,Vladimir Nabokov,,"Nabokov, Vladimir",1962,Putnam,
left-hand-darkness,The Left Hand of Darkness,Ursula K. Le Guin,,"Le Guin, Ursula K.|Ursula Le Guin|U. K. Le Guin|Ursula K LeGuin",1969,Ace,
dispossessed,The Dispossessed,Ursula K. Le Guin,,"Le Guin, Ursula K.|Ursula Le Guin",1974,Harper & Row,
wizard-earthsea,A Wizard of Earthsea,Ursula K. Le Guin,,"Le Guin, Ursula K.|Ursula Le Guin",1968,Parnassus,
tombs-atuan,The Tombs of Atuan,Ursula K. Le Guin,,"Le Guin, Ursula K.|Ursula Le Guin",1970,Atheneum,
farthest-shore,The Farthest Shore,Ursula K. Le Guin,,"Le Guin, Ursula K.|Ursula Le Guin",1972,Atheneum,
tehanu,Tehanu,Ursula K. Le Guin,,"Le Guin, Ursula K.|Ursula Le Guin",1990,Atheneum,
earthsea-quartet,The Earthsea Quartet,Ursula K. Le Guin,Earthsea|The Books of Earthsea,"Le Guin, Ursula K.|Ursula Le Guin",1993,Penguin,wizard-earthsea|tombs-atuan|farthest-shore|tehanu
pride-prejudice,Pride and Prejudice,Jane Austen,,"Austen, Jane",1813,,
emma,Emma,Jane Austen,,"Austen, Jane",1815,,
sense-sensibility,Sense and Sensibility,Jane Austen,,"Austen, Jane",1811,,
persuasion,Persuasion,Jane Austen,,"Austen, Jane",1817,,
jane-eyre,Jane Eyre,Charlotte Brontë,Jane Eyre: An Autobiography,"Bronte, Charlotte|Charlotte Bronte|Currer Bell",1847,,
wuthering-heights,Wuthering Heights,Emily Brontë,,"Bronte, Emily|Emily Bronte|Ellis Bell",1847,,
little-women,Little Women,Louisa May Alcott,,"Alcott, Louisa May|L. M. Alcott",1868,,
little-fires,Little Fires Everywhere,Celeste Ng,,"Ng, Celeste",2017,Penguin,
sapiens,Sapiens,Yuval Noah Harari,Sapiens: A Brief History of Humankind,"Harari, Yuval Noah|Yuval Harari",2011,Harper,
homo-deus,Homo Deus,Yuval Noah Harari,Homo Deus: A Brief History of Tomorrow,"Harari, Yuval Noah|Yuval Harari",2015,Harvill Secker,
21-lessons,21 Lessons for the 21st Century,Yuval Noah Harari,Twenty-One Lessons for the 21st Century,"Harari, Yuval Noah",2018,Spiegel & Grau,
thinking-fast-slow,"Thinking, Fast and Slow",Daniel Kahneman,Thinking Fast and Slow,"Kahneman, Daniel",2011,Farrar Straus and Giroux,
atomic-habits,Atomic Habits,James Clear,,"Clear, James",2018,Avery,
educated,Educated,Tara Westover,Educated: A Memoir,"Westover, Tara",2018,Random House,
becoming,Becoming,Michelle Obama,,"Obama, Michelle",2018,Crown,
born-a-crime,Born a Crime,Trevor Noah,Born a Crime: Stories from a South African Childhood,"Noah, Trevor",2016,Spiegel & Grau,
the-alchemist,The Alchemist,Paulo Coelho,O Alquimista,"Coelho, Paulo",1988,HarperOne,
kite-runner,The Kite Runner,Khaled Hosseini,,"Hosseini, Khaled",2003,Riverhead,
splendid-suns,A Thousand Splendid Suns,Khaled Hosseini,,"Hosseini, Khaled",2007,Riverhead,
life-of-pi,Life of Pi,Yann Martel,,"Martel, Yann",2001,Knopf,
the-martian,The Martian,Andy Weir,,"Weir, Andy",2011,Crown,
project-hail-mary,Project Hail Mary,Andy Weir,,"Weir, Andy",2021,Ballantine,
ready-player-one,Ready Player One,Ernest Cline,,"Cline, Ernest",2011,Crown,
hitchhikers,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Hitchhiker's Guide to the Galaxy|The Hitch Hiker's Guide to the Galaxy,"Adams, Douglas",1979,Pan Books,
restaurant-end,The Restaurant at the End of the Universe,Douglas Adams,,"Adams, Douglas",1980,Pan Books,
life-universe,"Life, the Universe and Everything",Douglas Adams,Life the Universe and Everything,"Adams, Douglas",1982,Pan Books,
hitchhikers-omnibus,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,The Hitchhiker's Guide to the Galaxy: The Complete Trilogy,"Adams, Douglas",1996,Del Rey,hitchhikers|restaurant-end|life-universe
good-omens,Good Omens,Terry Pratchett,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter Witch,"Pratchett, Terry|Neil Gaiman|Terry Pratchett and Neil Gaiman",1990,Gollancz,
american-gods,American Gods,Neil Gaiman,,"Gaiman, Neil",2001,William Morrow,
coraline,Coraline,Neil Gaiman,,"Gaiman, Neil",2002,Bloomsbury,
hunger-games,The Hunger Games,Suzanne Collins,,"Collins, Suzanne",2008,Scholastic,
catching-fire,Catching Fire,Suzanne Collins,,"Collins, Suzanne",2009,Scholastic,
mockingjay,Mockingjay,Suzanne Collins,,"Collins, Suzanne",2010,Scholastic,
game-of-thrones,A Game of Thrones,George R.R. Martin,Game of Thrones,"Martin, George R. R.|George RR Martin|George R R Martin",1996,Bantam,
clash-of-kings,A Clash of Kings,George R.R. Martin,,"Martin, George R. R.|George RR Martin",1998,Bantam,
storm-of-swords,A Storm of Swords,George R.R. Martin,,"Martin, George R. R.|George RR Martin",2000,Bantam,
study-in-scarlet,A Study in Scarlet,Arthur Conan Doyle,,"Doyle, Arthur Conan|Sir Arthur Conan Doyle|A. C. Doyle|Conan Doyle",1887,,
hound-baskervilles,The Hound of the Baskervilles,Arthur Conan Doyle,,"Doyle, Arthur Conan|Sir Arthur Conan Doyle|Conan Doyle",1902,,
sherlock-complete,The Complete Sherlock Holmes,Arthur Conan Doyle,Sherlock Holmes: The Complete Novels and Stories,"Doyle, Arthur Conan|Sir Arthur Conan Doyle",1927,Doubleday,study-in-scarlet|hound-baskervilles
to-kill-mockingbird,To Kill a Mockingbird,Harper Lee,,"Lee, Harper|Nelle Harper Lee",1960,Lippincott,
catcher-rye,The Catcher in the Rye,J.D. Salinger,,"Salinger, J. D.|Jerome David Salinger|JD Salinger",1951,Little Brown,
slaughterhouse-five,Slaughterhouse-Five,Kurt Vonnegut,Slaughterhouse Five|Slaughterhouse 5,"Vonnegut, Kurt|Kurt Vonnegut Jr.",1969,Delacorte,
cats-cradle,Cat's Cradle,Kurt Vonnegut,Cats Cradle,"Vonnegut, Kurt|Kurt Vonnegut Jr.",1963,Holt,
brave-new-world,Brave New World,Aldous Huxley,,"Huxley, Aldous",1932,Chatto & Windus,
fahrenheit-451,Fahrenheit 451,Ray Bradbury,,"Bradbury, Ray",1953,Ballantine,
handmaids-tale,The Handmaid's Tale,Margaret Atwood,The Handmaids Tale,"Atwood, Margaret",1985,McClelland & Stewart,
the-testaments,The Testaments,Margaret Atwood,,"Atwood, Margaret",2019,McClelland & Stewart,
ulysses,Ulysses,James Joyce,,"Joyce, James",1922,Shakespeare and Company,
dubliners,Dubliners,James Joyce,,"Joyce, James",1914,Grant Richards,
the-bell-jar,The Bell Jar,Sylvia Plath,,"Plath, Sylvia|Victoria Lucas",1963,Heinemann,
secret-history,The Secret History,Donna Tartt,,"Tartt, Donna",1992,Knopf,
the-goldfinch,The Goldfinch,Donna Tartt,,"Tartt, Donna",2013,Little Brown,
normal-people,Normal People,Sally Rooney,,"Rooney, Sally",2018,Faber & Faber,
bible-kjv,The Holy Bible,Various,The Bible|King James Version|KJV Bible,Various|King James Version,1611,,
lord-of-flies,Lord of the Flies,William Golding,,"Golding, William",1954,Faber & Faber,
scarlet-letter,The Scarlet Letter,Nathaniel Hawthorne,,"Hawthorne, Nathaniel",1850,,
of-mice-and-men,Of Mice and Men,John Steinbeck,,"Steinbeck, John",1937,Covici Friede,
grapes-of-wrath,The Grapes of Wrath,John Steinbeck,,"Steinbeck, John",1939,Viking,
great-expectations,Great Expectations,Charles Dickens,,"Dickens, Charles|Charles John Huffam Dickens",1861,,
tale-two-cities,A Tale of Two Cities,Charles Dickens,,"Dickens, Charles|Charles John Huffam Dickens",1859,,
frankenstein,Frankenstein,Mary Shelley,"Frankenstein; or, The Modern Prometheus|The Modern Prometheus","Shelley, Mary|Mary Wollstonecraft Shelley|Mary W. Shelley",1818,,
dracula,Dracula,Bram Stoker,,"Stoker, Bram|Abraham Stoker",1897,,
dorian-gray,The Picture of Dorian Gray,Oscar Wilde,,"Wilde, Oscar|Oscar Fingal O'Flahertie Wills Wilde",1890,,
monte-cristo,The Count of Monte Cristo,Alexandre Dumas,Le Comte de Monte-Cristo,"Dumas, Alexandre|Alexandre Dumas pere|Alexandre Dumas, pere",1844,,
huckleberry-finn,The Adventures of Huckleberry Finn,Mark Twain,Huckleberry Finn|Adventures of Huckleberry Finn,"Twain, Mark|Samuel Langhorne Clemens|Samuel Clemens",1884,,
tom-sawyer,The Adventures of Tom Sawyer,Mark Twain,Tom Sawyer,"Twain, Mark|Samuel Langhorne Clemens",1876,,
da-vinci-code,The Da Vinci Code,Dan Brown,,"Brown, Dan",2003,Doubleday,
little-prince,The Little Prince,Antoine de Saint-Exupery,Le Petit Prince,"Saint-Exupery, Antoine de|Antoine de Saint-Exupery|A. de Saint-Exupery",1943,Reynal & Hitchcock,
twilight,Twilight,Stephenie Meyer,,"Meyer, Stephenie",2005,Little Brown,
book-thief,The Book Thief,Markus Zusak,,"Zusak, Markus",2005,Picador,
and-then-none,And Then There Were None,Agatha Christie,Ten Little Indians|Ten Little Niggers,"Christie, Agatha|Agatha Mary Clarissa Christie",1939,Collins Crime Club,
murder-orient,Murder on the Orient Express,Agatha Christie,,"Christie, Agatha",1934,Collins Crime Club,
crawdads,Where the Crawdads Sing,Delia Owens,,"Owens, Delia",2018,Putnam,
silent-patient,The Silent Patient,Alex Michaelides,,"Michaelides, Alex",2019,Celadon,
it-ends-with-us,It Ends With Us,Colleen Hoover,It Ends with Us,"Hoover, Colleen",2016,Atria,
it-starts-with-us,It Starts With Us,Colleen Hoover,It Starts with Us,"Hoover, Colleen",2022,Atria,
evelyn-hugo,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins|T. J. Reid",2017,Atria,
lion-witch-wardrobe,"The Lion, the Witch and the Wardrobe",C.S. Lewis,The Lion the Witch and the Wardrobe,"Lewis, C. S.|Clive Staples Lewis|CS Lewis",1950,Geoffrey Bles,
prince-caspian,Prince Caspian,C.S. Lewis,,"Lewis, C. S.|Clive Staples Lewis",1951,Geoffrey Bles,
narnia-omnibus,The Chronicles of Narnia,C.S. Lewis,Chronicles of Narnia: The Complete Collection,"Lewis, C. S.|Clive Staples Lewis",1956,HarperCollins,lion-witch-wardrobe|prince-caspian
charlottes-web,Charlotte's Web,E.B. White,Charlottes Web,"White, E. B.|Elwyn Brooks White|EB White",1952,Harper & Brothers,
hungry-caterpillar,The Very Hungry Caterpillar,Eric Carle,,"Carle, Eric",1969,World Publishing,
the-giver,The Giver,Lois Lowry,,"Lowry, Lois",1993,Houghton Mifflin,
anne-green-gables,Anne of Green Gables,L.M. Montgomery,,"Montgomery, L. M.|Lucy Maud Montgomery|LM Montgomery",1908,L.C. Page,
alice-wonderland,Alice's Adventures in Wonderland,Lewis Carroll,Alice in Wonderland|Alices Adventures in Wonderland,"Carroll, Lewis|Charles Lutwidge Dodgson",1865,Macmillan,
through-looking-glass,Through the Looking-Glass,Lewis Carroll,Through the Looking Glass,"Carroll, Lewis|Charles Lutwidge Dodgson",1871,Macmillan,
alice-omnibus,Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,The Complete Alice,"Carroll, Lewis|Charles Lutwidge Dodgson",1960,Signet,alice-wonderland|through-looking-glass
anne-frank,The Diary of a Young Girl,Anne Frank,The Diary of Anne Frank|Het Achterhuis|Anne Frank: The Diary of a Young Girl,"Frank, Anne|Annelies Marie Frank",1947,Contact,
win-friends,How to Win Friends and Influence People,Dale Carnegie,,"Carnegie, Dale",1936,Simon & Schuster,
search-for-meaning,Man's Search for Meaning,Viktor Frankl,Mans Search for Meaning|Ein Psychologe erlebt das Konzentrationslager,"Frankl, Viktor|Viktor E. Frankl|Viktor Emil Frankl",1946,,
bible-niv,The Holy Bible,Various,The Bible|New International Version|NIV Bible,Various|New International Version,1978,Zondervan,
cats-eye-atwood,Cat's Eye,Margaret Atwood,,"Atwood, Margaret",,,
alias-grace-atwood,Alias Grace,Margaret Atwood,,"Atwood, Margaret",,,
oryx-and-crake-atwood,Oryx and Crake,Margaret Atwood,,"Atwood, Margaret",,,
blind-assassin-atwood,The Blind Assassin,Margaret Atwood,,"Atwood, Margaret",,,
robber-bride-atwood,The Robber Bride,Margaret Atwood,,"Atwood, Margaret",,,
surfacing-atwood,Surfacing,Margaret Atwood,,"Atwood, Margaret",,,
year-of-the-flood-atwood,The Year of the Flood,Margaret Atwood,,"Atwood, Margaret",,,
maddaddam-atwood,MaddAddam,Margaret Atwood,,"Atwood, Margaret",,,
dear-life-munro,Dear Life,Alice Munro,,"Munro, Alice",,,
runaway-munro,Runaway,Alice Munro,,"Munro, Alice",,,
lives-of-girls-and-women-munro,Lives of Girls and Women,Alice Munro,,"Munro, Alice",,,
love-of-a-good-woman-munro,The Love of a Good Woman,Alice Munro,,"Munro, Alice",,,
hateship-friendship-courts-munro,"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro,,"Munro, Alice",,,
who-do-you-think-you-are-munro,Who Do You Think You Are?,Alice Munro,,"Munro, Alice",,,
english-patient-ondaatje,The English Patient,Michael Ondaatje,,"Ondaatje, Michael",,,
in-the-skin-of-a-lion-ondaatje,In the Skin of a Lion,Michael Ondaatje,,"Ondaatje, Michael",,,
anils-ghost-ondaatje,Anil's Ghost,Michael Ondaatje,,"Ondaatje, Michael",,,
warlight-ondaatje,Warlight,Michael Ondaatje,,"Ondaatje, Michael",,,
cats-table-ondaatje,The Cat's Table,Michael Ondaatje,,"Ondaatje, Michael",,,
fifth-business-davies,Fifth Business,Robertson Davies,,"Davies, Robertson",,,
manticore-davies,The Manticore,Robertson Davies,,"Davies, Robertson",,,
world-of-wonders-davies,World of Wonders,Robertson Davies,,"Davies, Robertson",,,
stone-angel-laurence,The Stone Angel,Margaret Laurence,,"Laurence, Margaret",,,
diviners-laurence,The Diviners,Margaret Laurence,,"Laurence, Margaret",,,
bird-in-the-house-laurence,A Bird in the House,Margaret Laurence,,"Laurence, Margaret",,,
apprenticeship-of-duddy-kr-richler,The Apprenticeship of Duddy Kravitz,Mordecai Richler,Duddy Kravitz,"Richler, Mordecai",,,
barneys-version-richler,Barney's Version,Mordecai Richler,,"Richler, Mordecai",,,
solomon-gursky-was-here-richler,Solomon Gursky Was Here,Mordecai Richler,,"Richler, Mordecai",,,
wars-findley,The Wars,Timothy Findley,,"Findley, Timothy",,,
not-wanted-on-the-voyage-findley,Not Wanted on the Voyage,Timothy Findley,,"Findley, Timothy",,,
fine-balance-mistry,A Fine Balance,Rohinton Mistry,,"Mistry, Rohinton",,,
such-a-long-journey-mistry,Such a Long Journey,Rohinton Mistry,,"Mistry, Rohinton",,,
family-matters-mistry,Family Matters,Rohinton Mistry,,"Mistry, Rohinton",,,
book-of-negroes-hill,The Book of Negroes,Lawrence Hill,Someone Knows My Name,"Hill, Lawrence",,,
any-known-blood-hill,Any Known Blood,Lawrence Hill,,"Hill, Lawrence",,,
illegal-hill,The Illegal,Lawrence Hill,,"Hill, Lawrence",,,
fall-on-your-knees-macdonald,Fall on Your Knees,Ann-Marie MacDonald,,"MacDonald, Ann-Marie",,,
way-the-crow-flies-macdonald,The Way the Crow Flies,Ann-Marie MacDonald,,"MacDonald, Ann-Marie",,,
no-great-mischief-macleod,No Great Mischief,Alistair MacLeod,,"MacLeod, Alistair",,,
island-macleod,Island,Alistair MacLeod,,"MacLeod, Alistair",,,
generation-x-coupland,Generation X,Douglas Coupland,,"Coupland, Douglas",,,
microserfs-coupland,Microserfs,Douglas Coupland,,"Coupland, Douglas",,,
jpod-coupland,JPod,Douglas Coupland,,"Coupland, Douglas",,,
complicated-kindness-toews,A Complicated Kindness,Miriam Toews,,"Toews, Miriam",,,
all-my-puny-sorrows-toews,All My Puny Sorrows,Miriam Toews,,"Toews, Miriam",,,
women-talking-toews,Women Talking,Miriam Toews,,"Toews, Miriam",,,
do-not-say-we-have-nothing-thien,Do Not Say We Have Nothing,Madeleine Thien,,"Thien, Madeleine",,,
certainty-thien,Certainty,Madeleine Thien,,"Thien, Madeleine",,,
washington-black-edugyan,Washington Black,Esi Edugyan,,"Edugyan, Esi",,,
half-blood-blues-edugyan,Half-Blood Blues,Esi Edugyan,,"Edugyan, Esi",,,
fifteen-dogs-alexis,Fifteen Dogs,Andre Alexis,,"Alexis, Andre",,,
room-donoghue,Room,Emma Donoghue,,"Donoghue, Emma",,,
wonder-donoghue,The Wonder,Emma Donoghue,,"Donoghue, Emma",,,
lullabies-for-little-crimi-oneill,Lullabies for Little Criminals,Heather O'Neill,,"O'Neill, Heather",,,
lonely-hearts-hotel-oneill,The Lonely Hearts Hotel,Heather O'Neill,,"O'Neill, Heather",,,
brother-chariandy,Brother,David Chariandy,,"Chariandy, David",,,
soucouyant-chariandy,Soucouyant,David Chariandy,,"Chariandy, David",,,
scarborough-hernandez,Scarborough,Catherine Hernandez,,"Hernandez, Catherine",,,
break-vermette,The Break,Katherena Vermette,,"Vermette, Katherena",,,
bear-engel,Bear,Marian Engel,,"Engel, Marian",,,
rez-sisters-highway,The Rez Sisters,Tomson Highway,,"Highway, Tomson",,,
kiss-of-the-fur-queen-highway,Kiss of the Fur Queen,Tomson Highway,,"Highway, Tomson",,,
colony-of-unrequited-dream-johnston,The Colony of Unrequited Dreams,Wayne Johnston,,"Johnston, Wayne",,,
galore-crummey,Galore,Michael Crummey,,"Crummey, Michael",,,
sweetland-crummey,Sweetland,Michael Crummey,,"Crummey, Michael",,,
february-moore,February,Lisa Moore,,"Moore, Lisa",,,
nikolski-dickner,Nikolski,Nicolas Dickner,,"Dickner, Nicolas",,,
sisters-brothers-dewitt,The Sisters Brothers,Patrick deWitt,,"deWitt, Patrick",,,
late-nights-on-air-hay,Late Nights on Air,Elizabeth Hay,,"Hay, Elizabeth",,,
clara-callan-wright,Clara Callan,Richard B. Wright,,"Wright, Richard B.",,,
cellist-of-sarajevo-galloway,The Cellist of Sarajevo,Steven Galloway,,"Galloway, Steven",,,
bloodletting-and-miraculou-lam,Bloodletting and Miraculous Cures,Vincent Lam,,"Lam, Vincent",,,
in-between-world-of-vikram-vassanji,The In-Between World of Vikram Lall,M.G. Vassanji,,"Vassanji, M.G.",,,
antagonist-coady,The Antagonist,Lynn Coady,,"Coady, Lynn",,,
hellgoing-coady,Hellgoing,Lynn Coady,,"Coady, Lynn",,,
how-should-a-person-be-heti,How Should a Person Be?,Sheila Heti,,"Heti, Sheila",,,
bottle-rocket-hearts-whittall,Bottle Rocket Hearts,Zoe Whittall,,"Whittall, Zoe",,,
best-kind-of-people-whittall,The Best Kind of People,Zoe Whittall,,"Whittall, Zoe",,,
de-niros-game-hage,De Niro's Game,Rawi Hage,,"Hage, Rawi",,,
cockroach-hage,Cockroach,Rawi Hage,,"Hage, Rawi",,,
life-after-god-coupland,Life After God,Douglas Coupland,,"Coupland, Douglas",,,
away-urquhart,Away,Jane Urquhart,,"Urquhart, Jane",,,
stone-carvers-urquhart,The Stone Carvers,Jane Urquhart,,"Urquhart, Jane",,,
green-grass-running-water-king,"Green Grass, Running Water",Thomas King,,"King, Thomas",,,
inconvenient-indian-king,The Inconvenient Indian,Thomas King,,"King, Thomas",,,
indian-horse-wagamese,Indian Horse,Richard Wagamese,,"Wagamese, Richard",,,
medicine-walk-wagamese,Medicine Walk,Richard Wagamese,,"Wagamese, Richard",,,
starlight-wagamese,Starlight,Richard Wagamese,,"Wagamese, Richard",,,
five-little-indians-good,Five Little Indians,Michelle Good,,"Good, Michelle",,,
marrow-thieves-dimaline,The Marrow Thieves,Cherie Dimaline,,"Dimaline, Cherie",,,
empire-of-wild-dimaline,Empire of Wild,Cherie Dimaline,,"Dimaline, Cherie",,,
moon-of-the-crusted-snow-rice,Moon of the Crusted Snow,Waubgeshig Rice,,"Rice, Waubgeshig",,,
seven-fallen-feathers-talaga,Seven Fallen Feathers,Tanya Talaga,,"Talaga, Tanya",,,
